UPC|BARCODE|ARTICLE_NUMBER|BRAND|ENGLISH_NAME|LIST_PRICE|COLOR|SIZE
8528110001|8528110001|8528110001|ANF|DTC BOX LOGO TAPE PO|1001|101|11
8528110002|8528110002|8528110002|ANF|DTC BOX LOGO TAPE PO|1002|102|12
8528110003|8528110003|8528110003|ANF|DTC BOX LOGO TAPE PO|1003|103|13
8528110004|8528110004|8528110004|ANF|DTC BOX LOGO TAPE PO|1004|104|14
8528110005|8528110005|8528110005|ANF|DTC BOX LOGO TAPE PO|1005|105|15
8528110006|8528110006|8528110006|ANF|DTC BOX LOGO TAPE PO|1006|106|16
8528110007|8528110007|8528110007|ANF|DTC BOX LOGO TAPE PO|1007|107|17
8528110008|8528110008|8528110008|ANF|DTC BOX LOGO TAPE PO|1008|108|18
8528110009|8528110009|8528110009|ANF|DTC BOX LOGO TAPE PO|1009|109|19
8528110010|8528110010|8528110010|ANF|DTC BOX LOGO TAPE PO|1010|110|20
8528110011|8528110011|8528110011|ANF|DTC BOX LOGO TAPE PO|1011|111|21
8528110012|8528110012|8528110012|ANF|DTC BOX LOGO TAPE PO|1012|112|22
8528110013|8528110013|8528110013|ANF|DTC BOX LOGO TAPE PO|1013|113|23
8528110014|8528110014|8528110014|ANF|DTC BOX LOGO TAPE PO|1014|114|24
8528110015|8528110015|8528110015|ANF|DTC TECH LOGO PO|1015|115|25
8528110016|8528110016|8528110016|ANF|DTC TECH LOGO PO|1016|116|26
8528110017|8528110017|8528110017|ANF|DTC TECH LOGO PO|1017|117|27
8528110018|8528110018|8528110018|ANF|DTC TECH LOGO PO|1018|118|28
8528110019|8528110019|8528110019|ANF|DTC TECH LOGO PO|1019|119|29
8528110020|8528110020|8528110020|ANF|DTC TECH LOGO PO|1020|120|30
8528110021|8528110021|8528110021|ANF|DTC TECH LOGO PO|1021|121|31
8528110022|8528110022|8528110022|ANF|DTC TECH LOGO PO|1022|122|32
8528110023|8528110023|8528110023|ANF|DTC TECH LOGO PO|1023|123|33
8528110024|8528110024|8528110024|ANF|DTC TECH LOGO PO|1024|124|34
8528110025|8528110025|8528110025|ANF|DTC TECH LOGO PO|1025|125|35
8528110026|8528110026|8528110026|ANF|DTC TECH LOGO PO|1026|126|36
8528110027|8528110027|8528110027|ANF|DTC TECH LOGO PO|1027|127|37
8528110028|8528110028|8528110028|ANF|DTC TECH LOGO PO|1028|128|38
8528110029|8528110029|8528110029|ANF|DTC TECH LOGO PO|1029|129|39
8528110030|8528110030|8528110030|ANF|DTC TECH LOGO PO|1030|130|40
8528110031|8528110031|8528110031|ANF|DTC TECH LOGO PO|1031|131|41
8528110032|8528110032|8528110032|ANF|DTC TECH LOGO PO|1032|132|42
8528110033|8528110033|8528110033|ANF|DTC TECH LOGO PO|1033|133|43
8528110034|8528110034|8528110034|ANF|DTC TECH LOGO PO|1034|134|44
8528110035|8528110035|8528110035|ANF|DTC TECH LOGO PO|1035|135|45
8528110036|8528110036|8528110036|ANF|DTC TECH LOGO PO|1036|136|46
8528110037|8528110037|8528110037|ANF|DTC TECH LOGO PO|1037|137|47
8528110038|8528110038|8528110038|ANF|DTC TECH LOGO PO|1038|138|48
8528110039|8528110039|8528110039|ANF|DTC TECH LOGO PO|1039|139|49
8528110040|8528110040|8528110040|ANF|DTC TECH LOGO PO|1040|140|50
8528110041|8528110041|8528110041|ANF|DTC TECH LOGO PO|1041|141|51
8528110042|8528110042|8528110042|ANF|DTC TECH LOGO PO|1042|142|52
8528110043|8528110043|8528110043|ANF|DTC TECH LOGO PO|1043|143|53
8528110044|8528110044|8528110044|ANF|DTC TECH LOGO PO|1044|144|54
8528110045|8528110045|8528110045|ANF|DTC TECH LOGO PO|1045|145|55
8528110046|8528110046|8528110046|ANF|DTC TECH LOGO PO|1046|146|56
8528110047|8528110047|8528110047|ANF|DTC TECH LOGO PO|1047|147|57
8528110048|8528110048|8528110048|ANF|DTC TECH LOGO PO|1048|148|58
8528110049|8528110049|8528110049|ANF|DTC TECH LOGO PO|1049|149|59
8528110050|8528110050|8528110050|ANF|DTC TECH LOGO PO|1050|150|60
8528110051|8528110051|8528110051|ANF|DTC TECH LOGO PO|1051|151|61
8528110052|8528110052|8528110052|ANF|DTC TECH LOGO PO|1052|152|62
8528110053|8528110053|8528110053|ANF|DTC TECH LOGO PO|1053|153|63
8528110054|8528110054|8528110054|ANF|DTC TECH LOGO PO|1054|154|64
8528110055|8528110055|8528110055|ANF|DTC TECH LOGO PO|1055|155|65
8528110056|8528110056|8528110056|ANF|DTC TECH LOGO PO|1056|156|66
8528110057|8528110057|8528110057|ANF|DTC TECH LOGO PO|1057|157|67
8528110058|8528110058|8528110058|ANF|DTC TECH LOGO PO|1058|158|68
8528110059|8528110059|8528110059|ANF|DTC TECH LOGO PO|1059|159|69
8528110060|8528110060|8528110060|ANF|DTC TECH LOGO PO|1060|160|70
8528110061|8528110061|8528110061|ANF|DTC TECH LOGO PO|1061|161|71
8528110062|8528110062|8528110062|ANF|DTC TECH LOGO PO|1062|162|72
8528110063|8528110063|8528110063|ANF|DTC TECH LOGO PO|1063|163|73
8528110064|8528110064|8528110064|ANF|DTC TECH LOGO PO|1064|164|74
8528110065|8528110065|8528110065|ANF|DTC TECH LOGO PO|1065|165|75
8528110066|8528110066|8528110066|ANF|DTC TECH LOGO PO|1066|166|76
8528110067|8528110067|8528110067|ANF|DTC TECH LOGO PO|1067|167|77
8528110068|8528110068|8528110068|ANF|DTC TECH LOGO PO|1068|168|78
8528110069|8528110069|8528110069|ANF|DTC TECH LOGO PO|1069|169|79
8528110070|8528110070|8528110070|ANF|DTC TECH LOGO PO|1070|170|80
8528110071|8528110071|8528110071|ANF|DTC TECH LOGO PO|1071|171|81
8528110072|8528110072|8528110072|ANF|DTC TECH LOGO PO|1072|172|82
8528110073|8528110073|8528110073|ANF|DTC TECH LOGO PO|1073|173|83
8528110074|8528110074|8528110074|ANF|DTC TECH LOGO PO|1074|174|84
8528110075|8528110075|8528110075|ANF|DTC TECH LOGO PO|1075|175|85
8528110076|8528110076|8528110076|ANF|DTC TECH LOGO PO|1076|176|86
8528110077|8528110077|8528110077|ANF|DTC TECH LOGO PO|1077|177|87
8528110078|8528110078|8528110078|ANF|DTC TECH LOGO PO|1078|178|88
8528110079|8528110079|8528110079|ANF|DTC TECH LOGO PO|1079|179|89
8528110080|8528110080|8528110080|ANF|DTC TECH LOGO PO|1080|180|90
8528110081|8528110081|8528110081|ANF|DTC TECH LOGO PO|1081|181|91
8528110082|8528110082|8528110082|ANF|DTC TECH LOGO PO|1082|182|92
8528110083|8528110083|8528110083|ANF|DTC TECH LOGO PO|1083|183|93
8528110084|8528110084|8528110084|ANF|DTC TECH LOGO PO|1084|184|94
8528110085|8528110085|8528110085|ANF|DTC TECH LOGO PO|1085|185|95
8528110086|8528110086|8528110086|ANF|DTC TECH LOGO PO|1086|186|96
8528110087|8528110087|8528110087|ANF|DTC TECH LOGO PO|1087|187|97
8528110088|8528110088|8528110088|ANF|DTC TECH LOGO PO|1088|188|98
8528110089|8528110089|8528110089|ANF|DTC TECH LOGO PO|1089|189|99
8528110090|8528110090|8528110090|ANF|DTC TECH LOGO PO|1090|190|100
8528110091|8528110091|8528110091|ANF|DTC TECH LOGO PO|1091|191|101
8528110092|8528110092|8528110092|ANF|DTC TECH LOGO PO|1092|192|102
8528110093|8528110093|8528110093|ANF|DTC TECH LOGO PO|1093|193|103
8528110094|8528110094|8528110094|ANF|DTC TECH LOGO PO|1094|194|104
8528110095|8528110095|8528110095|ANF|DTC TECH LOGO PO|1095|195|105
8528110096|8528110096|8528110096|ANF|DTC TECH LOGO PO|1096|196|106
8528110097|8528110097|8528110097|ANF|DTC TECH LOGO PO|1097|197|107
8528110098|8528110098|8528110098|ANF|DTC TECH LOGO PO|1098|198|108
8528110099|8528110099|8528110099|ANF|DTC TECH LOGO PO|1099|199|109
8528110100|8528110100|8528110100|ANF|DTC TECH LOGO PO|1100|200|110
8528110101|8528110101|8528110101|ANF|DTC TECH LOGO PO|1101|201|111
8528110102|8528110102|8528110102|ANF|DTC TECH LOGO PO|1102|202|112
8528110103|8528110103|8528110103|ANF|DTC TECH LOGO PO|1103|203|113
8528110104|8528110104|8528110104|ANF|DTC TECH LOGO PO|1104|204|114
8528110105|8528110105|8528110105|ANF|DTC TECH LOGO PO|1105|205|115
8528110106|8528110106|8528110106|ANF|DTC TECH LOGO PO|1106|206|116
8528110107|8528110107|8528110107|ANF|DTC TECH LOGO PO|1107|207|117
